,yr_released,report_year,race_ethnicity,age_released,crime_class,crime_type,crime_subtype,release_type,super_dist,recidivist,target_pop,sex,felony,crime_types_combined,crime_class_type_subtype,max_sentence
6862,2011,2014,White,1.0,D Felony,Public Order,Weapons,Parole,5JD,0,1,0.0,True,Public Order_Weapons,D Felony_Public Order_Weapons,5.0
6863,2011,2014,Black,1.0,C Felony,Drug,Trafficking,Parole,7JD,1,1,0.0,True,Drug_Trafficking,C Felony_Drug_Trafficking,10.0
6864,2011,2014,White,1.0,D Felony,Violent,Assault,Discharged – End of Sentence,unknown,1,0,0.0,True,Violent_Assault,D Felony_Violent_Assault,5.0
6865,2011,2014,White,0.0,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,unknown,1,0,0.0,False,Property_Burglary,Aggravated Misdemeanor_Property_Burglary,2.0
6866,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6867,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6868,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6869,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6870,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6871,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6872,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6873,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6874,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6875,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6876,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6877,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6878,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6879,2011,2014,White,3.0,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,unknown,0,0,0.0,False,Violent_Assault,Aggravated Misdemeanor_Violent_Assault,2.0
6880,2011,2014,White,0.0,D Felony,Public Order,Other Public Order,Parole,1JD,0,0,0.0,True,Public Order_Other Public Order,D Felony_Public Order_Other Public Order,5.0
